Study_Hours_Per_Week,Attendance_Percentage,Previous_Term_Grade,Sleep_Hours_Per_Night,Participates_Extracurricular,Final_Exam_Score
4.370861069626263,87.9264685607898,50.18231108612408,7.114490710817308,1,85.06523469589793
9.556428757689245,81.44385465376482,69.8045521058097,6.875091265778385,0,99.30315368990934
7.587945476302646,72.38110465145311,88.01202097320245,4.153852394838614,0,82.87108886891636
6.387926357773329,92.55180078827794,80.27236875252586,6.047486965756939,0,98.16164636257865
2.4041677639819286,87.38924690215518,84.36086313237973,6.281173712715143,1,69.474762008949
2.403950683025824,66.50467757379565,76.23308516908946,6.392936685381403,1,75.84743604440278
1.5227525095137953,96.4370873797537,78.07521104848189,7.4810342153639935,1,80.29491767836345
8.795585311974417,92.90148971692676,86.70576083609257,7.2016152803612705,1,97.31688214832556
6.41003510568888,97.99199653167696,53.73174048725522,7.647430556760668,1,94.08070330447212
7.372653200164409,89.0287803355344,66.91837300037272,8.58929956925277,1,100.0
1.185260448662222,84.5366078374316,52.16651930007812,8.87791443229656,1,67.43448951511313
9.72918866945795,76.72972145162475,94.32174043981558,8.308738457358967,0,100.0
8.491983767203795,97.30913933416053,91.92326368276373,9.733142175729608,1,100.0
2.9110519961044856,94.64255558001634,42.16847462526783,4.10939549605817,0,69.31909397366995
2.636424704863906,61.808746804247576,78.80663448836287,5.174667914101277,0,74.06741651994645
2.650640588680904,61.05467897989008,90.88865745786163,4.045377249868853,1,68.416609704993
3.7381801866358395,75.05853467512199,49.931643982003344,7.884848284927618,1,73.44650761665355
5.72280788469014,92.4221332312733,71.23698768039462,9.388183293699921,0,78.93330804060481
4.887505167779041,99.49104517259778,90.3518563673423,5.460893779457796,0,91.17622386327527
3.6210622617823773,66.01667564414113,41.867028822218934,9.56220726877784,1,58.361033893688145
6.506676052501415,83.7652286140854,78.3581146985762,4.361604341737365,1,94.5387402923986
2.2554447458683766,75.23563426524086,56.35419540549029,9.606616160833086,0,63.44958585410374
3.629301836816963,98.79657591258413,90.84179074570918,6.1097361234378065,1,93.34226348664599
4.297256589643226,93.68475692542835,93.40820348409522,4.608524970695299,1,89.78493261943929
5.104629857953324,93.53314818844552,91.93465690123887,6.915230555117954,1,97.18360284780445
,78.7477263917988,66.08178191616051,5.540659406323048,0,95.15961572930244
2.7970640394252375,76.5927800935066,87.41234580441224,5.709237411771537,0,73.93193044093107
5.628109945722504,70.93628287722825,86.45021691942887,5.84373978955772,0,84.42374745537938
6.331731119758382,62.25501986603709,57.55052602837906,8.818155386995981,1,72.71247256144694
1.4180537144799796,94.58889505020213,85.59035107828726,7.234967660051527,1,78.09646978968489
6.467903667112945,92.51604036520311,42.03541990935209,5.867846194936022,0,78.29798162231444
2.5347171131856236,99.98870693144522,72.79484331651292,7.662002699865511,0,84.22665824708307
1.5854643368675156,99.86547348295622,52.650486050823666,8.296904045339161,0,72.71616103896791
9.539969835279999,82.2172682241051,46.63117871775033,5.635744004401203,1,85.55861509431179
9.690688297671034,90.75949660722043,44.232426089606506,6.481294609152109,0,85.5762433710815
8.275576133048151,97.79062919529713,78.29588267329768,4.7313165600216855,0,94.350609025299
3.741523922560336,93.98589562709645,58.69312300724364,5.086896097208082,1,70.08019460486808
1.8790490260574548,69.8939240697279,79.86217243408188,8.086707123789896,1,78.00942300563028
